,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5338,59,3,1,N,8,4,2,14,0,1
5366,35,1,1,N,3,0,2,2,2,6
5376,58,2,0,N,9,2,1,20,1,7
5387,53,2,4,N,5,4,1,15,0,4
5409,54,2,3,N,5,1,4,8,2,5
5421,55,2,2,N,6,1,1,18,1,6
5443,44,3,1,N,8,1,2,3,0,6
5450,59,2,8,N,7,4,0,10,2,5
5555,62,2,1,1,6,4,0,16,0,6
5577,66,1,1,1,6,3,2,9,1,6
5590,53,0,2,0,6,1,0,16,2,7
5604,62,2,2,4,4,1,3,13,3,4
5618,40,1,5,2,5,4,2,13,0,3
