,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
SaintEtienne_5702,45.0,17.0,7.0,2.0,5.0,1.0,2.0,45.0,13.0,2.0,0.0,22.0,4.0,23.0,370.0,67.56756756756756
SaintEtienne_5717,55.5,14.0,15.0,4.0,8.5,6.5,1.5,34.0,14.5,1.0,2.5,21.0,4.0,23.0,444.0,75.77220077220076
SaintEtienne_5738,54.666666666666664,13.0,14.0,3.6666666666666665,7.333333333333333,5.333333333333333,1.6666666666666667,33.666666666666664,14.333333333333334,1.0,3.0,21.666666666666668,6.333333333333333,21.333333333333332,447.0,75.82753046329204
SaintEtienne_5745,53.75,12.75,13.75,4.0,7.0,6.0,2.25,29.75,13.25,1.25,2.75,21.0,5.0,23.25,436.75,76.08247050756755
SaintEtienne_5765,53.8,12.4,13.6,4.4,6.8,5.8,2.25,28.0,12.2,1.0,2.4,22.4,5.2,26.0,459.0,77.43531947174748
SaintEtienne_5779,54.0,12.166666666666666,14.833333333333334,4.666666666666667,8.0,6.0,2.0416666666666665,28.666666666666668,13.333333333333334,1.6666666666666667,2.6666666666666665,22.333333333333332,5.333333333333333,26.5,455.0,77.55625281649453
SaintEtienne_5801,53.0,11.857142857142858,14.428571428571429,4.571428571428571,8.142857142857142,5.857142857142857,1.8928571428571428,27.285714285714285,12.714285714285714,1.8571428571428572,2.4285714285714284,24.857142857142858,5.428571428571429,26.285714285714285,450.57142857142856,77.49430834405732
SaintEtienne_5808,53.625,13.25,13.875,5.25,7.375,5.625,2.15625,29.875,14.25,2.375,2.375,24.0,4.75,26.25,440.375,76.95386126446478
SaintEtienne_5815,53.666666666666664,13.444444444444445,13.88888888888889,5.222222222222222,7.888888888888889,6.333333333333333,2.138888888888889,30.0,14.444444444444445,2.3333333333333335,2.5555555555555554,24.0,4.888888888888889,26.77777777777778,442.1111111111111,77.44339324872503
SaintEtienne_5829,54.0,13.0,14.0,5.0,8.3,6.6,2.225,28.4,13.6,2.3,2.8,23.9,4.5,25.7,442.7,78.04726820956681
SaintEtienne_5857,52.18181818181818,14.090909090909092,13.545454545454545,4.7272727272727275,8.0,6.181818181818182,2.2954545454545454,29.363636363636363,13.454545454545455,2.5454545454545454,2.8181818181818183,24.454545454545453,4.181818181818182,25.454545454545453,424.0,76.49751655415164
SaintEtienne_5871,51.083333333333336,14.833333333333334,13.416666666666666,4.666666666666667,7.833333333333333,6.25,2.4375,29.166666666666668,13.166666666666666,2.6666666666666665,2.8333333333333335,24.416666666666668,4.166666666666667,24.833333333333332,414.1666666666667,76.28939017463901
SaintEtienne_5885,51.38461538461539,14.307692307692308,13.384615384615385,4.846153846153846,7.6923076923076925,6.6923076923076925,2.25,30.846153846153847,14.461538461538462,2.5384615384615383,3.076923076923077,24.615384615384617,4.076923076923077,25.23076923076923,416.2307692307692,75.80559093043601
SaintEtienne_5899,51.92857142857143,13.928571428571429,13.5,4.928571428571429,7.785714285714286,6.5,2.232142857142857,31.0,14.5,2.642857142857143,3.0714285714285716,25.285714285714285,4.071428571428571,26.0,424.42857142857144,76.03376300683342
SaintEtienne_5919,51.53333333333333,13.933333333333334,13.2,4.866666666666666,7.4,6.4,2.15,30.8,14.533333333333333,2.533333333333333,3.066666666666667,25.2,4.066666666666666,25.666666666666668,418.53333333333336,75.49817880637787
SaintEtienne_5940,51.875,13.875,13.3125,5.0,7.4375,6.625,2.140625,30.375,14.375,2.4375,3.0625,25.375,4.3125,26.125,423.0625,75.90454263097925
SaintEtienne_5955,51.76470588235294,13.882352941176471,13.235294117647058,5.0,7.294117647058823,6.470588235294118,2.1323529411764706,29.176470588235293,13.941176470588236,2.3529411764705883,3.0,25.0,4.294117647058823,26.11764705882353,424.88235294117646,76.38074600562753
SaintEtienne_5961,51.5,14.277777777777779,12.944444444444445,4.777777777777778,7.277777777777778,6.222222222222222,2.125,30.333333333333332,14.833333333333334,2.611111111111111,3.0555555555555554,24.61111111111111,4.111111111111111,26.555555555555557,422.22222222222223,75.91514900531489
SaintEtienne_5975,51.73684210526316,14.263157894736842,12.894736842105264,4.684210526315789,7.157894736842105,6.2631578947368425,2.0657894736842106,31.157894736842106,15.473684210526315,2.736842105263158,3.1052631578947367,25.894736842105264,4.368421052631579,26.736842105263158,423.94736842105266,76.02487800503516
