,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Caen_6072,35.0,14.0,6.0,1.0,5.0,3.0,4.0,35.0,13.0,5.0,0.0,47.0,6.0,23.0,225.0,64.0
Caen_6095,41.5,10.5,7.0,2.5,4.5,5.5,2.5,38.5,18.0,3.5,0.0,41.0,6.5,25.0,332.5,72.0
Caen_6105,45.666666666666664,10.666666666666666,6.666666666666667,2.0,3.6666666666666665,5.0,2.0,36.333333333333336,16.333333333333332,3.3333333333333335,1.0,36.0,7.666666666666667,26.333333333333332,382.3333333333333,75.33333333333333
Caen_6108,43.75,12.0,8.25,2.5,4.5,5.0,2.0,38.0,17.0,3.0,1.25,33.0,7.5,25.75,361.75,73.25
Caen_6129,44.6,10.8,9.0,3.0,4.6,4.4,1.6,41.0,19.6,3.2,1.4,30.6,8.2,27.6,366.6,73.4
Caen_6143,45.666666666666664,10.666666666666666,9.833333333333334,3.3333333333333335,5.166666666666667,4.166666666666667,1.8333333333333333,42.833333333333336,23.666666666666668,2.8333333333333335,1.3333333333333333,29.0,8.166666666666666,28.333333333333332,393.3333333333333,74.0
Caen_6165,44.285714285714285,11.428571428571429,8.857142857142858,2.857142857142857,4.571428571428571,3.857142857142857,1.7142857142857142,40.42857142857143,21.714285714285715,2.833333333333333,1.4285714285714286,29.428571428571427,7.571428571428571,26.142857142857142,387.7142857142857,74.57142857142857
Caen_6174,44.25,11.5,9.5,2.75,5.125,3.625,1.625,41.375,21.875,2.9791666666666665,1.5,31.5,7.375,24.875,391.375,74.875
Caen_6223,44.888888888888886,11.222222222222221,9.444444444444445,2.7777777777777777,5.0,3.6666666666666665,1.6666666666666667,43.666666666666664,24.0,3.2037037037037037,1.5555555555555556,31.666666666666668,7.333333333333333,25.77777777777778,396.22222222222223,74.44444444444444
Caen_6196,44.8,11.3,9.9,2.9,5.5,3.5,1.7,41.5,23.0,3.2833333333333328,1.5,31.8,7.4,25.0,390.0,74.2
Caen_6233,45.27272727272727,11.545454545454545,10.272727272727273,2.727272727272727,6.0,4.0,1.7272727272727273,43.18181818181818,23.727272727272727,3.166666666666666,1.5454545454545454,32.0,7.2727272727272725,24.727272727272727,390.8181818181818,74.0
Caen_6240,45.083333333333336,11.666666666666666,10.25,2.5833333333333335,6.083333333333333,3.75,1.75,43.333333333333336,23.5,3.2361111111111107,1.5,31.416666666666668,7.333333333333333,24.083333333333332,385.6666666666667,73.25
Caen_6247,45.46153846153846,11.76923076923077,10.23076923076923,2.6923076923076925,5.923076923076923,3.8461538461538463,1.6153846153846154,42.76923076923077,23.23076923076923,3.064102564102564,1.5384615384615385,31.307692307692307,7.6923076923076925,23.846153846153847,388.15384615384613,73.23076923076923
Caen_6262,44.714285714285715,11.785714285714286,10.285714285714286,2.7142857142857144,5.785714285714286,3.7142857142857144,1.6428571428571428,42.642857142857146,23.142857142857142,2.9166666666666665,1.6428571428571428,31.071428571428573,7.785714285714286,24.285714285714285,383.2857142857143,72.35714285714286
Caen_6274,43.93333333333333,11.8,10.0,2.6666666666666665,5.6,3.466666666666667,1.6,41.46666666666667,22.6,2.855555555555555,1.6,31.6,7.533333333333333,24.0,379.4,72.66666666666667
Caen_6297,44.75,11.625,10.375,2.6875,5.75,3.4375,1.5625,41.8125,22.75,2.739583333333333,1.8125,32.4375,7.4375,23.875,385.625,73.25
Caen_6310,45.05882352941177,11.352941176470589,10.588235294117647,2.7058823529411766,5.882352941176471,3.3529411764705883,1.5294117647058822,42.64705882352941,23.352941176470587,2.5784313725490193,1.8235294117647058,32.470588235294116,7.411764705882353,23.823529411764707,387.2352941176471,73.23529411764706
Caen_6331,45.166666666666664,11.222222222222221,10.61111111111111,2.7777777777777777,5.777777777777778,3.4444444444444446,1.5555555555555556,41.611111111111114,22.77777777777778,2.712962962962963,1.8888888888888888,32.611111111111114,7.333333333333333,23.77777777777778,386.3333333333333,73.44444444444444
Caen_6345,44.10526315789474,11.052631578947368,10.894736842105264,2.9473684210526314,5.7894736842105265,3.526315789473684,1.5263157894736843,40.78947368421053,22.263157894736842,2.7807017543859645,2.0,32.26315789473684,7.2631578947368425,23.0,378.4736842105263,73.15789473684211
