,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Lyon_6067,54.0,14.0,9.0,8.0,1.0,4.0,2.0,34.0,16.0,1.0,1.0,32.0,10.0,29.0,450.0,80.0
Lyon_6080,60.5,11.5,17.0,8.5,6.0,7.0,2.0,30.5,15.5,1.0,3.0,30.5,12.5,22.5,555.5,85.0
Lyon_6102,58.666666666666664,11.666666666666666,16.0,6.0,6.333333333333333,5.0,2.0,30.0,15.0,1.3333333333333333,4.0,35.666666666666664,13.666666666666666,26.333333333333332,526.0,82.66666666666667
Lyon_6108,60.25,10.75,16.5,6.5,6.5,5.75,1.75,27.5,13.5,1.25,3.75,34.25,15.25,24.0,547.5,84.25
Lyon_6128,56.4,13.0,14.0,5.8,5.4,5.4,2.0,25.6,12.6,1.8,3.0,33.0,14.2,22.2,526.8,84.0
Lyon_6143,53.666666666666664,13.5,12.833333333333334,5.333333333333333,4.833333333333333,4.833333333333333,2.3333333333333335,28.666666666666668,14.0,1.5,2.8333333333333335,35.0,13.5,22.833333333333332,488.3333333333333,81.0
Lyon_6163,55.142857142857146,13.714285714285714,13.428571428571429,5.0,4.857142857142857,4.857142857142857,2.4285714285714284,29.285714285714285,14.0,1.7142857142857142,3.7142857142857144,34.57142857142857,13.142857142857142,21.142857142857142,501.7142857142857,81.85714285714286
Lyon_6175,56.125,13.375,14.375,5.5,4.875,5.5,2.25,29.75,13.875,1.625,4.0,33.75,13.375,19.875,512.0,82.375
Lyon_6300,56.333333333333336,13.555555555555555,14.88888888888889,5.555555555555555,5.222222222222222,5.555555555555555,2.111111111111111,30.88888888888889,15.0,1.7777777777777777,4.0,32.333333333333336,13.777777777777779,19.77777777777778,518.8888888888889,82.66666666666667
Lyon_6193,55.1,14.2,15.0,5.9,5.1,5.9,2.1,32.0,15.2,1.9,3.9,33.5,13.3,20.4,497.0,81.7
Lyon_6220,56.0,14.818181818181818,15.181818181818182,5.818181818181818,5.454545454545454,5.818181818181818,2.1818181818181817,33.0,16.09090909090909,2.0,3.727272727272727,33.09090909090909,12.454545454545455,21.454545454545453,498.8181818181818,81.54545454545455
Lyon_6241,57.083333333333336,15.166666666666666,15.0,5.666666666666667,5.583333333333333,5.583333333333333,2.3333333333333335,32.5,15.583333333333334,2.1666666666666665,3.5,33.333333333333336,12.416666666666666,22.083333333333332,504.0,81.75
Lyon_6247,57.61538461538461,15.0,14.76923076923077,5.461538461538462,5.384615384615385,6.0,2.3076923076923075,33.46153846153846,16.53846153846154,2.0,3.6923076923076925,33.38461538461539,12.846153846153847,22.46153846153846,503.61538461538464,81.84615384615384
Lyon_6267,57.642857142857146,15.071428571428571,14.714285714285714,5.142857142857143,5.714285714285714,5.857142857142857,2.4285714285714284,33.42857142857143,16.5,2.0714285714285716,3.642857142857143,33.0,13.142857142857142,22.142857142857142,507.85714285714283,82.14285714285714
Lyon_6283,57.06666666666667,14.6,14.466666666666667,4.933333333333334,5.8,6.133333333333334,2.3333333333333335,33.0,16.266666666666666,2.066666666666667,3.533333333333333,33.46666666666667,13.0,21.8,508.6666666666667,82.26666666666667
Lyon_6297,57.625,14.75,14.875,5.0,5.9375,6.25,2.25,32.9375,16.5,2.0,3.6875,32.125,12.875,22.5625,512.875,82.375
Lyon_6311,58.23529411764706,14.294117647058824,14.235294117647058,4.705882352941177,5.823529411764706,6.0,2.1176470588235294,31.941176470588236,16.11764705882353,2.0,3.4705882352941178,30.823529411764707,12.470588235294118,21.941176470588236,499.4117647058824,82.29411764705883
Lyon_6323,58.05555555555556,14.11111111111111,13.88888888888889,4.611111111111111,5.666666666666667,6.111111111111111,2.1666666666666665,33.05555555555556,16.61111111111111,2.2222222222222223,3.388888888888889,31.055555555555557,12.277777777777779,21.833333333333332,498.6111111111111,82.11111111111111
Lyon_6339,58.05263157894737,13.894736842105264,13.947368421052632,4.684210526315789,5.7368421052631575,5.842105263157895,2.1052631578947367,33.421052631578945,16.736842105263158,2.263157894736842,3.263157894736842,31.0,12.105263157894736,21.68421052631579,498.7894736842105,81.94736842105263
