,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Verona_5409,35.0,7.0,8.0,6.0,1.0,3.0,1.0,25.0,12.0,10.0,1.0,24.0,7.0,9.0,308.0,76.0
Verona_5417,45.0,13.0,9.5,4.0,4.0,3.5,2.5,29.0,18.0,6.5,1.5,22.5,4.5,14.5,393.0,79.5
Verona_5423,44.666666666666664,13.0,12.0,4.333333333333333,6.0,5.0,2.3333333333333335,32.0,16.666666666666668,5.0,1.6666666666666667,22.333333333333332,3.6666666666666665,14.666666666666666,370.6666666666667,80.33333333333333
Verona_5443,45.25,14.25,11.75,3.5,6.25,5.0,2.5,32.0,15.5,4.25,2.0,21.5,4.0,14.5,369.0,79.25
Verona_5458,44.2,13.4,11.2,3.6,5.6,5.2,3.0,33.0,16.6,4.4,2.0,23.0,4.6,16.0,358.8,78.6
Verona_5481,43.333333333333336,14.5,11.0,3.8333333333333335,5.0,4.5,3.3333333333333335,30.5,15.833333333333334,4.5,2.1666666666666665,27.5,4.833333333333333,16.166666666666668,349.3333333333333,78.83333333333333
Verona_5493,42.857142857142854,13.714285714285714,10.142857142857142,3.4285714285714284,4.857142857142857,3.857142857142857,3.142857142857143,28.142857142857142,14.714285714285714,4.428571428571429,1.8571428571428572,27.714285714285715,4.857142857142857,15.857142857142858,361.7142857142857,79.57142857142857
Verona_5507,41.875,13.5,10.25,3.5,4.875,3.875,3.0,26.875,14.0,4.25,1.875,30.125,4.875,15.75,355.625,79.0
Verona_5521,42.22222222222222,15.333333333333334,10.444444444444445,3.7777777777777777,4.555555555555555,4.0,3.111111111111111,26.555555555555557,14.0,4.0,2.111111111111111,30.88888888888889,5.0,16.22222222222222,347.3333333333333,77.55555555555556
Verona_5535,41.2,15.9,9.9,3.7,4.3,3.7,3.1,27.7,14.4,4.0,1.9,32.6,5.2,16.0,336.3,75.9
Verona_5541,41.45454545454545,16.272727272727273,10.181818181818182,3.727272727272727,4.363636363636363,3.6363636363636362,3.090909090909091,27.727272727272727,14.363636363636363,3.909090909090909,2.090909090909091,31.545454545454547,5.090909090909091,16.454545454545453,335.3636363636364,75.9090909090909
Verona_5556,41.583333333333336,15.666666666666666,9.583333333333334,3.4166666666666665,4.083333333333333,3.4166666666666665,2.9166666666666665,26.75,13.833333333333334,4.0,2.1666666666666665,30.166666666666668,5.416666666666667,16.75,341.5,76.08333333333333
Verona_5585,41.15384615384615,16.076923076923077,9.76923076923077,3.4615384615384617,3.923076923076923,3.6923076923076925,3.076923076923077,26.76923076923077,13.692307692307692,3.923076923076923,2.4615384615384617,30.076923076923077,5.615384615384615,16.307692307692307,338.38461538461536,75.84615384615384
Verona_5594,41.07142857142857,15.928571428571429,9.857142857142858,3.5,4.0,3.9285714285714284,3.142857142857143,26.428571428571427,13.714285714285714,3.9285714285714284,2.4285714285714284,30.714285714285715,5.428571428571429,16.571428571428573,336.92857142857144,75.78571428571429
Verona_5605,41.333333333333336,15.866666666666667,10.133333333333333,3.466666666666667,4.066666666666666,3.8666666666666667,3.2666666666666666,26.0,13.466666666666667,3.7333333333333334,2.6666666666666665,30.2,5.4,16.533333333333335,334.0,75.66666666666667
Verona_5619,42.0,15.5625,10.0,3.5,4.0625,3.8125,3.1875,24.5625,12.8125,3.8125,2.5,28.625,5.125,16.125,329.875,76.25
