,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Burnley_6236,59,4,25,4,12,10,1,76,48,5,9,24,7,40,415,66
Middlesbrough_6236,62,12,14,6,2,4,2,34,21,4,6,27,11,25,482,79
SunderlandA.F.C_6236,28,9,5,1,2,2,2,33,21,3,2,32,6,15,223,62
SwanseaCity_6236,43,10,12,6,3,5,2,43,24,1,3,27,5,22,417,81
Liverpool_6236,62,13,7,3,2,3,2,48,21,1,2,23,5,34,636,80
WestHamUnited_6237,30,11,6,1,1,2,3,31,16,0,4,28,9,15,280,76
ManchesterUnited_6237,67,20,16,7,4,7,1,35,20,2,5,27,9,33,635,85
StokeCity_6237,47,21,12,5,5,5,1,34,20,5,2,23,12,18,416,80
Chelsea_6240,41,14,15,7,5,10,1,28,17,4,2,35,17,21,408,80
CrystalPalace_6240,65,9,19,7,8,7,3,26,14,3,4,15,9,32,491,82
Everton_6240,46,14,15,10,2,4,3,20,10,5,3,30,21,15,478,82
HullCity_6240,28,9,7,4,3,1,2,23,14,5,0,20,2,14,259,63
Southampton_6240,55,12,21,7,11,3,0,38,14,1,3,22,10,29,474,82
Watford_6240,60,12,16,7,3,3,5,59,28,6,6,20,10,26,512,77
WestBromwich_6240,38,6,16,4,8,5,2,42,22,2,4,19,15,14,312,71
TottenhamHotspur_6240,65,8,18,5,6,11,0,42,19,0,6,28,8,36,579,85
ManchesterCity_6241,69,9,17,5,5,10,2,36,17,1,7,22,16,15,704,89
LeicesterCity_6241,32,12,12,2,6,10,2,56,18,6,4,26,14,20,292,66
Arsenal_6247,49,12,14,4,8,3,3,26,13,4,2,32,16,19,485,81
WestHamUnited_6247,65,7,16,4,4,7,3,32,15,1,8,23,10,20,532,84
ManchesterUnited_6247,57,10,23,11,8,5,1,33,19,3,4,40,19,15,582,84
Middlesbrough_6247,46,14,7,1,4,5,2,46,24,3,2,35,15,22,463,73
StokeCity_6247,57,10,7,4,2,5,1,46,22,1,1,29,10,33,449,75
SunderlandA.F.C_6247,46,12,6,1,1,6,1,32,20,4,4,21,7,32,443,78
Liverpool_6247,51,14,16,8,4,10,3,32,15,2,4,31,5,33,421,71
Burnley_6248,28,12,6,4,1,1,3,28,16,1,1,33,3,22,297,61
SwanseaCity_6248,49,7,10,4,5,7,2,66,36,1,1,32,9,27,477,74
BournemouthAFC_6249,38,8,7,1,2,3,2,22,11,4,4,31,16,23,362,78
Chelsea_6261,66,11,16,4,6,8,1,24,13,1,5,20,20,20,738,87
CrystalPalace_6261,46,13,15,3,7,4,3,42,22,4,5,25,15,31,346,71
Everton_6261,63,10,21,8,9,10,0,30,12,1,3,25,9,15,507,83
HullCity_6261,66,8,15,1,9,6,1,48,28,2,5,12,6,22,464,79
WestBromwich_6261,32,12,14,4,5,8,2,19,10,3,4,23,8,18,297,72
