,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
BayernMunchen_6254,72,10,13,4,2,4,3,30,11,1,7,23,15,25,723,88
WerderBremen_6254,37,10,6,2,3,6,4,45,21,5,1,46,10,17,290,66
Ingolstadt_6254,49,12,13,10,2,5,0,74,40,6,1,18,4,19,397,69
Darmstadt_6254,43,19,6,3,3,2,4,34,12,3,0,34,7,17,390,78
VfLWolfsburg_6254,38,15,5,2,3,2,1,23,14,8,0,12,2,16,358,77
SCFreiburg_6254,52,9,12,2,4,5,2,59,32,2,5,23,10,22,437,70
RBLeipzig_6255,43,17,9,5,3,3,3,53,21,2,1,30,5,36,374,67
Schalke_6255,51,14,13,4,7,0,3,22,13,3,1,19,13,26,485,81
WerderBremen_6260,28,15,7,3,4,1,3,40,19,5,0,28,8,18,268,66
Augsburg_6261,45,16,20,5,7,1,0,56,31,1,8,35,5,36,386,73
FSVMainz_6261,37,17,11,5,3,8,3,53,22,3,3,35,8,27,245,48
FCKoln_6261,48,10,5,1,4,0,4,42,19,2,None,31,12,36,487,71
BorussiaDortmund_6261,64,10,28,11,10,3,0,32,18,3,7,35,13,25,606,83
HamburgerSV_6261,28,11,5,1,2,4,1,24,9,4,2,31,3,15,294,70
EintrachtFrankfurt_6261,44,16,8,2,1,6,2,30,16,2,5,22,7,14,379,73
BorussiaMonchengladbach_6262,48,14,10,4,4,4,0,49,26,3,2,28,2,26,431,74
TSGHoffenheim_6262,59,13,14,4,9,3,2,18,10,1,1,24,2,14,614,86
RBLeipzig_6267,60,15,12,5,5,6,2,61,30,0,2,19,12,30,570,75
VfLWolfsburg_6268,52,12,8,6,1,6,None,41,19,1,1,18,2,31,510,81
Ingolstadt_6268,43,20,8,4,3,6,2,36,13,7,1,28,7,19,333,67
Darmstadt_6268,58,16,12,3,3,7,1,37,16,2,5,32,13,28,399,81
BayerLeverkusen_6268,44,18,16,3,7,3,6,29,14,6,6,32,5,27,394,76
BayernMunchen_6268,71,8,21,8,7,9,2,33,15,2,6,20,16,21,746,89
Schalke_6268,58,15,5,1,4,2,4,13,3,3,0,32,4,18,653,89
SCFreiburg_6269,53,14,10,3,4,1,1,49,22,2,3,26,6,29,446,76
HerthaBerlin_6269,58,11,8,1,3,2,2,45,20,2,4,51,11,24,544,76
WerderBremen_6274,47,12,11,3,4,3,2,30,20,6,4,37,4,20,534,84
EintrachtFrankfurt_6275,29,8,11,4,6,2,3,38,17,4,0,24,6,18,272,65
VfLWolfsburg_6275,44,17,17,5,9,3,4,40,26,6,1,30,8,31,383,68
TSGHoffenheim_6275,59,11,23,7,10,6,2,22,14,3,6,25,6,27,602,83
FSVMainz_6275,58,17,13,6,6,11,4,36,15,3,1,24,6,31,393,75
BorussiaDortmund_6275,68,15,18,2,9,8,4,36,15,2,7,28,7,12,649,87
FCKoln_6275,44,24,7,2,2,0,3,77,37,7,3,22,6,35,326,61
Augsburg_6276,34,10,9,3,4,4,0,29,8,4,2,30,2,25,277,68
BorussiaMonchengladbach_6276,53,18,7,3,3,4,2,62,32,4,1,38,8,29,419,69
Ingolstadt_6281,45,23,14,2,8,2,3,60,20,1,4,26,5,40,342,60
Darmstadt_6282,43,14,6,1,2,4,3,28,14,3,3,28,2,22,376,72
RBLeipzig_6282,56,18,8,2,5,5,1,48,26,1,0,21,8,31,502,71
SCFreiburg_6282,49,21,7,3,3,1,2,65,28,2,1,25,3,22,414,68
BayerLeverkusen_6282,36,14,16,7,5,7,1,16,9,3,4,31,8,26,360,77
HerthaBerlin_6282,72,12,8,6,2,9,3,40,19,2,None,17,10,29,679,85
HamburgerSV_6282,49,24,5,0,4,7,1,60,34,1,1,17,3,28,297,51
Schalke_6283,49,15,9,5,4,4,4,37,19,5,0,36,8,25,387,73
BayernMunchen_6283,69,11,19,6,9,4,2,12,8,1,3,18,12,17,782,90
TSGHoffenheim_6295,64,13,31,8,14,8,1,16,9,2,6,13,7,20,619,90
FCKoln_6296,48,13,7,1,5,1,3,58,26,2,1,19,7,23,357,62
Augsburg_6296,26,9,6,2,3,1,2,21,10,2,1,29,3,16,285,72
BorussiaDortmund_6296,57,17,8,2,3,4,2,37,21,2,2,38,6,23,493,81
WerderBremen_6296,33,14,11,7,3,5,1,35,13,2,1,27,0,13,305,72
