,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Montpellier_5591,52,11,10,2,7,8,2,35,19,2,1,23,10,28,405,75
Monaco_5591,55,6,13,6,3,4,1,21,11,1,4,22,11,20,532,87
Lyon_5591,51,14,14,10,4,4,3,16,9,4,0,21,7,22,428,81
Marseille_5596,53,20,12,8,2,7,3,33,15,7,12,26,7,26,387,77
EvianThononGaillard_5597,49,9,7,3,5,3,1,21,10,4,0,30,11,28,420,81
SaintEtienne_5597,48,13,6,1,5,5,2,46,19,3,2,25,4,16,426,76
Caen_5597,46,9,13,5,6,10,1,52,35,0,5,38,12,29,347,67
Reims_5597,53,10,4,2,3,5,1,40,20,1,2,32,5,28,332,66
Rennes_5597,50,10,3,1,2,4,0,24,11,1,1,30,10,18,500,81
Bordeaux_5597,44,10,9,2,7,11,1,25,7,2,4,12,2,26,470,77
Lens_5598,34,23,4,1,1,3,3,24,10,5,1,39,5,15,282,77
Toulouse_5598,48,20,11,4,6,5,0,22,14,3,1,33,13,15,438,80
ParisSaintGermain_5598,58,2,4,4,2,2,3,31,22,3,5,25,11,15,600,86
Guingamp_5603,27,13,6,2,4,2,2,22,10,4,None,36,8,15,300,77
Lyon_5604,68,13,13,8,3,6,1,22,9,6,2,29,8,22,562,85
Nantes_5604,44,14,7,4,3,1,2,40,23,5,None,27,13,35,331,69
Lille_5604,64,8,17,7,7,8,1,10,7,1,3,22,10,27,583,85
Bastia_5604,35,8,6,5,1,1,4,31,12,4,0,16,0,12,331,78
Lorient_5604,46,7,18,11,4,11,1,17,8,7,3,34,9,25,411,82
Reims_5604,50,17,14,3,10,6,3,58,40,2,1,21,9,52,289,62
Montpellier_5605,53,11,18,4,11,8,2,38,19,3,3,16,4,25,441,79
Nice_5605,48,12,7,2,4,7,2,32,17,4,1,15,13,21,312,72
Monaco_5605,46,14,13,4,7,5,2,37,22,4,2,38,11,25,338,70
Marseille_5611,56,25,16,6,8,2,3,19,11,2,2,29,14,17,363,86
Bordeaux_5611,43,18,14,6,5,5,4,22,9,2,4,24,7,25,320,74
ParisSaintGermain_5611,57,17,13,4,9,4,5,27,16,1,0,24,9,12,544,84
Lorient_5611,47,7,3,1,2,3,1,24,12,5,0,16,8,25,422,82
Metz_5611,47,19,9,1,6,2,2,33,15,3,1,28,11,23,413,77
Toulouse_5611,58,15,15,6,6,9,1,30,10,2,3,20,10,30,463,81
Caen_5611,37,6,9,4,4,4,1,47,28,2,1,25,8,22,306,70
Rennes_5611,59,15,10,3,4,5,2,30,14,0,3,23,4,22,580,86
Lens_5611,54,11,9,4,5,1,1,51,21,4,0,25,6,35,446,76
SaintEtienne_5611,54,14,19,4,12,3,1,53,33,2,3,23,10,23,419,73
Bastia_5618,40,20,7,1,3,0,1,18,6,1,2,40,11,17,332,79
Nantes_5618,68,15,16,5,9,3,2,35,20,3,2,24,19,26,603,87
Nice_5618,50,19,8,4,1,3,4,16,6,4,3,33,4,25,393,76
Montpellier_5618,45,11,7,1,4,2,1,30,14,7,2,17,6,24,482,85
Reims_5618,30,15,10,4,4,8,2,19,7,3,2,26,7,15,334,77
Monaco_5618,38,13,18,8,5,10,3,28,13,1,5,28,8,29,325,71
Lyon_5618,57,7,9,2,6,1,None,19,8,2,1,20,13,14,606,88
Guingamp_5618,45,9,11,3,7,4,1,33,14,4,1,22,11,20,402,78
Lille_5618,51,4,20,10,6,7,None,15,7,3,4,25,14,13,487,87
EvianThononGaillard_5618,52,10,15,8,7,8,1,44,13,3,0,24,3,19,385,81
