,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
BayerLeverkusen_5569,50,10,25,9,11,7,3,69,38,1,5,32,13,23,392,71
VfLWolfsburg_5569,62,14,23,9,9,8,1,47,27,4,5,24,21,30,558,82
WerderBremen_5569,50,23,15,5,8,3,4,89,49,3,2,27,5,16,393,64
EintrachtFrankfurt_5569,37,17,13,7,5,4,2,72,25,4,1,29,6,20,310,64
SCFreiburg_5569,45,8,11,4,4,5,3,65,27,6,3,33,12,21,381,71
TSGHoffenheim_5569,39,14,22,6,11,5,3,26,10,3,5,40,12,17,421,80
BorussiaDortmund_5569,50,16,15,2,7,2,2,88,42,1,6,50,17,34,543,73
Augsburg_5570,44,22,21,3,11,4,3,58,23,3,7,43,13,18,299,70
HerthaBerlin_5570,51,18,13,5,6,3,1,54,29,2,2,28,10,30,455,78
Hannover96_5575,62,18,12,5,6,10,3,63,33,3,1,25,14,29,514,81
BayernMunchen_5576,63,14,19,10,7,3,1,17,8,1,2,30,26,19,721,91
Schalke_5576,67,15,21,6,9,7,2,56,33,3,6,27,18,25,545,83
BorussiaMonchengladbach_5576,50,10,12,7,4,6,1,39,19,2,1,27,14,16,543,83
FSVMainz_5576,59,17,8,2,5,4,1,64,30,2,1,44,13,30,481,75
SCPaderborn07_5576,37,14,14,4,6,6,1,64,32,4,4,37,17,12,298,71
HamburgerSV_5576,47,17,5,0,5,3,5,61,23,6,0,35,11,23,394,74
FCKoln_5577,38,15,18,6,9,3,4,42,20,6,3,32,20,17,316,71
VfBStuttgart_5577,49,13,15,3,8,9,3,61,29,1,4,35,12,27,339,67
EintrachtFrankfurt_5582,46,17,17,5,8,8,3,49,28,4,4,27,8,21,426,77
SCFreiburg_5583,56,15,25,10,5,6,1,80,41,2,7,33,10,32,482,78
TSGHoffenheim_5583,35,16,8,1,5,1,3,26,11,4,2,40,10,14,303,78
HerthaBerlin_5583,50,9,10,4,3,8,0,46,22,2,3,22,9,12,478,83
BorussiaDortmund_5583,50,14,21,8,8,5,1,55,26,0,5,46,13,31,505,78
BayerLeverkusen_5583,52,14,25,10,6,10,1,73,41,1,8,18,11,14,376,67
Augsburg_5583,57,21,12,4,6,2,2,45,27,6,2,16,5,32,484,78
WerderBremen_5584,54,9,11,5,3,3,1,80,34,2,3,29,9,32,388,68
VfLWolfsburg_5584,53,17,26,9,13,7,2,53,21,1,4,20,15,24,437,79
FSVMainz_5589,42,10,11,3,4,4,0,61,23,2,4,50,10,21,392,72
Hannover96_5590,49,23,12,5,5,2,5,117,56,2,2,34,11,44,343,61
VfBStuttgart_5590,46,14,11,3,6,4,4,44,24,5,2,41,6,22,297,70
HamburgerSV_5590,40,14,15,8,5,2,3,66,30,1,2,34,7,21,314,64
FCKoln_5590,49,14,14,4,6,5,2,82,34,4,4,35,9,27,378,69
BorussiaDortmund_5590,42,20,12,4,6,2,3,37,17,0,2,24,10,19,393,70
BayernMunchen_5590,73,13,16,7,6,5,0,33,12,3,3,27,24,22,846,91
SCPaderborn07_5591,43,22,20,8,9,14,3,79,44,4,3,21,13,21,252,67
BorussiaMonchengladbach_5591,58,9,19,5,10,4,2,36,17,0,4,22,17,22,642,86
VfLWolfsburg_5597,40,7,6,2,9,5,1,63,37,7,7,27,13,36,542,82
Schalke_5597,38,14,10,3,10,5,1,42,21,5,4,19,15,25,572,85
WerderBremen_5597,54,21,11,5,5,10,2,71,44,5,2,40,7,20,287,61
SCFreiburg_5597,41,9,14,9,3,8,1,61,31,4,5,20,3,29,436,74
Augsburg_5597,38,12,11,4,7,8,None,65,38,1,9,17,3,24,587,82
TSGHoffenheim_5597,45,14,10,3,8,8,1,42,21,2,3,25,10,23,361,74
BayerLeverkusen_5597,43,25,20,8,8,12,1,41,22,6,4,58,19,23,379,72
FSVMainz_5598,43,12,4,3,4,8,4,63,29,4,0,19,16,28,516,78
HerthaBerlin_5598,32,14,3,2,5,3,2,42,18,5,2,40,9,19,300,67
HamburgerSV_5603,54,16,16,8,6,5,0,77,44,6,2,27,6,23,433,74
BayernMunchen_5604,66,13,16,4,10,4,2,28,14,3,2,21,9,20,690,86
BorussiaDortmund_5604,47,16,14,4,6,7,2,38,21,0,4,39,12,20,454,78
BorussiaMonchengladbach_5604,45,15,10,7,2,6,2,53,30,2,1,40,19,23,411,74
Hannover96_5604,56,16,12,3,8,8,4,73,42,2,1,39,6,30,345,65
EintrachtFrankfurt_5604,44,21,13,4,8,1,4,72,42,4,1,32,11,28,348,66
VfBStuttgart_5604,53,16,18,7,8,7,2,63,36,2,3,42,12,17,382,71
SCPaderborn07_5605,51,9,16,4,7,11,0,53,21,2,5,24,19,29,448,77
FCKoln_5605,39,10,13,6,6,5,1,55,25,1,1,23,11,35,367,74
Schalke_5611,55,14,18,3,8,10,3,70,35,4,6,44,16,27,458,73
BayerLeverkusen_5611,55,20,13,4,8,4,2,73,43,5,1,34,11,28,429,66
VfLWolfsburg_5611,48,11,12,8,3,6,4,37,26,2,1,21,12,30,457,76
FSVMainz_5611,54,15,18,6,9,2,1,83,48,4,3,24,11,18,520,78
Augsburg_5611,61,20,8,2,3,3,3,62,26,1,3,23,1,24,536,83
HerthaBerlin_5611,39,20,9,2,5,4,3,50,19,0,2,34,9,19,278,63
WerderBremen_5611,36,13,19,3,6,5,0,52,25,2,10,30,8,20,332,71
SCFreiburg_5611,28,16,9,3,4,2,1,21,12,5,2,27,11,14,203,65
VfBStuttgart_5611,55,10,22,10,9,9,1,54,21,0,3,33,30,24,406,75
BayernMunchen_5618,69,11,20,7,9,5,None,43,22,5,4,15,12,24,819,88
BorussiaDortmund_5618,62,11,22,8,8,9,None,43,28,2,6,37,15,28,659,80
BorussiaMonchengladbach_5618,44,13,10,3,3,1,4,48,24,1,4,27,12,24,411,80
TSGHoffenheim_5618,68,14,16,5,4,1,2,36,22,0,7,18,16,34,671,90
Hannover96_5618,44,16,11,6,4,3,3,77,49,4,1,30,11,25,329,68
EintrachtFrankfurt_5618,43,20,8,3,3,3,2,50,26,6,2,31,14,32,343,67
HamburgerSV_5618,53,16,11,4,4,3,1,62,38,4,3,34,12,27,417,75
FCKoln_5618,39,14,12,5,7,4,None,36,15,3,2,22,7,19,350,77
SCPaderborn07_5618,52,12,15,5,6,2,2,65,37,1,4,47,24,23,409,70
