,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
GranadaCF_5903,55,24,14,8,6,4,7,27,18,0,3,20,7,23,449,77
RCDEspanyol_5903,53,20,16,3,13,5,4,26,10,3,4,37,13,22,394,73
RayoVallecano_5903,36,17,8,4,4,3,0,21,9,3,1,24,2,23,283,75
RealMadrid_5905,56,13,20,11,3,10,2,17,9,2,5,24,8,15,553,85
Villarreal_5905,57,9,13,1,12,6,1,22,13,2,4,17,6,21,636,82
Getafe_5905,50,12,11,5,6,10,4,16,7,3,4,24,10,21,337,69
DeportivoLaCoruna_5905,55,11,3,3,0,10,4,35,17,0,4,14,7,17,467,76
RealBetis_5906,43,9,12,5,5,6,5,37,21,4,1,16,7,20,314,73
Eibar_5906,31,18,5,0,5,6,3,15,9,3,2,23,1,30,294,70
SportingGijon_5906,46,17,6,1,3,3,1,35,12,4,1,31,7,25,409,74
RealSociedad_5906,58,12,13,3,7,10,3,26,11,2,5,29,6,25,455,81
Valencia_5906,45,13,9,3,3,6,3,50,30,2,4,30,15,20,448,76
RCDEspanyol_5907,33,16,9,8,1,8,5,33,16,0,0,27,8,19,252,61
Malaga_5911,48,8,12,3,9,3,1,41,27,4,4,26,8,24,425,71
FCBarcelona_5912,70,7,16,9,6,5,0,10,5,1,1,30,15,16,678,90
CeltaVigo_5912,43,21,6,4,4,5,3,43,14,6,2,20,5,23,365,68
AtleticoMadrid_5912,52,12,15,7,5,10,1,24,17,2,3,25,10,28,478,81
RayoVallecano_5912,59,17,12,3,9,8,5,57,29,0,2,17,7,36,403,69
Levante_5913,46,16,13,6,7,8,2,38,27,1,0,22,2,26,357,67
Sevilla_5913,55,10,14,4,9,5,3,26,16,4,1,25,3,10,434,84
AthleticBilbao_5913,48,12,18,9,5,5,1,40,27,0,4,49,8,17,507,73
LasPalmas_5913,52,10,15,6,6,6,4,27,15,2,3,28,8,11,535,82
GranadaCF_5914,41,12,8,1,3,2,7,31,13,2,4,30,10,23,291,71
Getafe_5918,38,12,8,4,4,3,2,33,15,5,0,42,13,23,326,60
SportingGijon_5919,62,14,11,3,5,7,5,39,16,0,4,37,6,25,567,79
GranadaCF_5919,38,8,11,2,6,6,2,27,15,4,3,35,5,11,246,66
RealSociedad_5919,60,16,13,3,6,11,4,26,19,6,4,19,10,26,512,83
DeportivoLaCoruna_5919,52,8,15,6,7,2,2,26,9,0,2,12,9,27,432,77
RealBetis_5919,53,15,16,5,5,5,3,40,21,4,6,32,13,33,444,77
RCDEspanyol_5920,36,7,16,7,6,6,3,37,15,3,3,31,9,18,329,69
