,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
Tottenham_5423,58,2,3,2,10,3,1,12,0,9
Sunderland_5423,43,1,3,2,4,4,0,5,3,3
Swansea_5423,51,2,2,1,7,5,2,7,1,3
StokeCity_5436,68,3,2,0,7,5,0,18,1,8
NewcastleUtd_5436,55,3,1,2,11,7,1,7,2,4
ManchesterCity_5436,61,5,2,0,4,3,0,13,0,3
Leicester_5436,40,1,3,1,6,3,0,6,2,8
Everton_5436,63,2,2,2,5,0,3,8,1,5
Chelsea_5436,72,7,3,0,5,7,2,9,1,2
Arsenal_5436,54,5,5,1,4,4,0,10,0,7
CrystalPalace_5437,37,3,3,0,5,3,1,14,0,10
HullCity_5437,36,2,3,5,5,3,3,9,3,8
AstonVilla_5438,35,1,1,3,8,2,0,7,2,8
WestBrom_5443,50,0,0,0,3,1,2,13,4,3
WestHam_5443,48,1,1,1,8,0,1,17,0,1
Swansea_5443,65,2,6,2,7,3,0,6,2,3
QPR_5443,65,2,8,8,11,4,1,9,1,4
ManchesterUnited_5443,76,3,2,3,6,5,2,8,0,7
Liverpool_5443,47,0,3,0,5,2,0,12,0,8
Burnley_5443,49,2,1,2,6,0,1,13,3,3
Sunderland_5443,33,1,2,1,5,1,0,13,2,5
Southampton_5444,45,2,1,1,6,4,2,13,2,7
Tottenham_5444,42,5,1,1,4,1,1,11,2,6
Swansea_5446,52,3,4,3,6,4,4,14,1,4
ManchesterUnited_5446,63,2,2,1,2,1,0,12,0,2
Leicester_5446,46,2,6,0,8,3,0,18,0,4
Burnley_5446,50,2,3,1,7,1,1,20,2,7
WestBrom_5446,46,2,3,4,6,3,0,13,4,2
CrystalPalace_5446,32,5,1,4,8,4,1,15,1,8
Sunderland_5447,35,1,0,3,3,1,1,15,0,6
Everton_5447,61,4,3,2,4,4,1,18,0,3
Chelsea_5447,45,5,1,1,7,0,2,23,1,3
Arsenal_5447,54,2,3,1,9,5,0,11,1,2
NewcastleUtd_5450,42,1,3,1,6,0,0,15,2,4
Tottenham_5450,67,2,5,1,5,1,1,8,2,5
StokeCity_5450,47,4,4,2,7,2,2,6,1,10
QPR_5450,58,2,0,2,6,1,1,13,2,6
Liverpool_5450,47,0,2,0,7,3,0,10,0,5
HullCity_5450,41,0,1,1,8,2,0,17,1,7
ManchesterCity_5450,52,1,3,2,5,6,2,10,0,4
WestHam_5451,59,3,2,4,9,4,1,12,1,3
AstonVilla_5451,72,1,2,3,8,1,3,13,2,5
Southampton_5452,53,2,4,1,3,2,3,15,0,6
WestBrom_5457,41,2,3,0,5,1,0,12,0,8
Sunderland_5457,57,1,1,2,9,1,1,12,5,6
Leicester_5457,34,1,2,1,8,4,2,15,2,9
CrystalPalace_5457,42,2,2,2,2,5,1,15,1,2
Chelsea_5457,62,1,1,1,6,2,0,14,0,6
Burnley_5457,44,0,3,2,9,1,1,20,2,9
