,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
LeicesterCity_5695,44.0,13.0,19.0,8.0,7.0,6.0,2.0,47.0,20.0,3.0,4.0,25.0,7.0,21.0,342.0,73.09941520467837
LeicesterCity_5709,39.5,10.0,16.0,5.0,6.0,4.0,1.5,42.0,17.0,4.0,5.0,28.0,11.0,21.0,303.5,71.07800948913163
LeicesterCity_5731,42.666666666666664,9.333333333333334,17.666666666666668,5.333333333333333,7.0,4.0,1.6666666666666667,43.0,17.0,3.3333333333333335,5.333333333333333,32.0,15.333333333333334,25.666666666666668,331.0,72.94665226736582
LeicesterCity_5744,42.5,9.25,17.25,5.75,6.75,4.5,1.5,41.25,15.75,4.0,4.75,33.25,16.0,23.75,337.75,74.33289422845732
LeicesterCity_5772,44.4,8.8,16.0,5.2,6.2,4.2,2.0,42.2,16.6,4.0,4.6,33.6,15.4,23.4,354.8,74.86631538276586
LeicesterCity_5786,43.666666666666664,9.0,14.333333333333334,5.0,5.833333333333333,4.166666666666667,1.6666666666666667,39.333333333333336,15.833333333333334,3.6666666666666665,4.166666666666667,31.833333333333332,14.666666666666666,22.0,357.8333333333333,74.1401600486409
LeicesterCity_5807,41.857142857142854,8.428571428571429,13.285714285714286,4.714285714285714,5.285714285714286,3.7142857142857144,1.4285714285714286,38.42857142857143,16.0,3.2857142857142856,3.857142857142857,32.42857142857143,14.142857142857142,23.285714285714285,344.7142857142857,72.57126500409821
LeicesterCity_5823,41.25,9.375,12.75,4.75,5.0,3.375,1.5,38.75,16.5,3.125,3.5,33.125,14.375,23.625,336.125,70.87485687858593
LeicesterCity_5838,41.111111111111114,9.555555555555555,12.555555555555555,4.666666666666667,5.222222222222222,3.111111111111111,1.4444444444444444,38.22222222222222,15.88888888888889,3.3333333333333335,3.111111111111111,31.88888888888889,13.777777777777779,24.11111111111111,335.6666666666667,69.92758362433877
LeicesterCity_5842,42.3,9.5,12.9,4.4,5.9,3.5,1.4,38.5,16.1,3.0,3.0,32.3,13.5,24.7,349.5,70.8348252619049
LeicesterCity_5863,42.54545454545455,9.545454545454545,13.090909090909092,4.454545454545454,6.0,3.909090909090909,1.2727272727272727,39.45454545454545,16.636363636363637,2.909090909090909,3.0,31.727272727272727,13.818181818181818,25.454545454545453,350.45454545454544,70.94075023809536
LeicesterCity_5873,42.0,9.25,13.083333333333334,4.583333333333333,5.833333333333333,3.8333333333333335,1.1666666666666667,41.333333333333336,17.75,2.8333333333333335,3.0,31.583333333333332,13.916666666666666,25.25,348.6666666666667,70.36235438492075
LeicesterCity_5898,43.30769230769231,9.23076923076923,13.076923076923077,4.538461538461538,6.076923076923077,3.769230769230769,1.0769230769230769,41.76923076923077,18.0,2.6923076923076925,3.1538461538461537,31.0,13.615384615384615,25.53846153846154,357.2307692307692,70.48832712454222
LeicesterCity_5901,44.857142857142854,9.285714285714286,13.714285714285714,4.857142857142857,6.571428571428571,4.285714285714286,1.0,42.857142857142854,18.714285714285715,2.5714285714285716,3.357142857142857,31.142857142857142,13.571428571428571,25.571428571428573,366.5,70.95344661564636
LeicesterCity_5914,45.2,8.933333333333334,13.466666666666667,4.6,6.333333333333333,4.533333333333333,1.0,43.13333333333333,19.066666666666666,2.533333333333333,3.533333333333333,31.4,13.066666666666666,26.0,372.53333333333336,71.42321684126993
LeicesterCity_5934,45.3125,9.125,13.3125,4.5625,6.0625,4.6875,1.0625,43.1875,18.9375,2.5,3.625,31.3125,12.8125,26.0,372.0,71.52176578869056
LeicesterCity_5948,45.1764705882353,9.411764705882353,12.882352941176471,4.411764705882353,5.9411764705882355,4.411764705882353,1.1764705882352942,42.64705882352941,18.823529411764707,2.4705882352941178,3.411764705882353,30.705882352941178,12.411764705882353,25.764705882352942,369.47058823529414,71.31460309523817
LeicesterCity_5955,44.94444444444444,9.722222222222221,13.166666666666666,4.666666666666667,5.944444444444445,4.388888888888889,1.1666666666666667,42.05555555555556,18.666666666666668,2.388888888888889,3.388888888888889,31.166666666666668,12.944444444444445,25.5,370.6111111111111,71.46379181216939
LeicesterCity_5968,45.10526315789474,9.421052631578947,14.210526315789474,4.842105263157895,6.421052631578948,4.7894736842105265,1.105263157894737,41.8421052631579,19.05263157894737,2.473684210526316,3.736842105263158,30.94736842105263,13.0,25.210526315789473,368.8421052631579,71.75517119047626
